time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-28,28.1,23.7,35.2,0.0,,267.0,18.8,,1004.7,
2024-05-29,27.8,23.2,35.2,0.0,,264.0,16.3,,1005.1,
2024-05-30,28.5,22.9,35.6,0.0,,269.0,15.2,,1006.0,
2024-05-31,28.9,23.4,36.2,0.1,,271.0,13.5,,1006.9,
2024-06-01,29.2,23.9,36.2,0.3,,269.0,12.2,,1006.6,
2024-06-02,29.2,24.1,35.8,0.3,,270.0,11.6,,1007.0,
2024-06-03,28.8,23.5,36.6,1.3,,260.0,9.7,,1007.4,
2024-06-04,27.1,22.8,35.4,0.0,,277.0,7.4,,1008.4,
2024-06-05,27.1,21.2,34.4,68.1,,274.0,9.0,,1008.5,
2024-06-06,27.8,24.2,34.0,8.9,,275.0,8.9,,1008.9,
2024-06-07,27.2,22.9,33.0,14.0,,309.0,8.3,,1007.2,
2024-06-08,26.1,22.4,34.0,0.0,,292.0,9.5,,1006.2,
2024-06-09,24.7,21.2,28.4,117.1,,287.0,8.9,,1006.1,
2024-06-10,25.2,21.6,30.2,13.0,,280.0,10.6,,1007.2,
2024-06-11,26.8,22.4,30.0,7.9,,266.0,11.7,,1007.5,
2024-06-12,27.4,24.2,31.8,0.0,,261.0,10.1,,1008.4,
2024-06-13,27.3,24.4,31.0,1.0,,258.0,10.6,,1008.1,
2024-06-14,26.6,23.9,29.8,0.0,,255.0,11.6,,1007.3,
2024-06-15,27.0,23.2,31.2,0.0,,249.0,10.8,,1006.6,
2024-06-16,27.3,22.7,32.6,0.5,,261.0,8.0,,1006.9,
2024-06-17,27.3,23.2,32.8,5.1,,261.0,8.4,,1007.1,
2024-06-18,27.1,22.6,30.6,0.8,,253.0,12.1,,1007.0,
2024-06-19,26.4,22.9,29.8,0.0,,252.0,14.2,,1005.2,
2024-06-20,26.2,23.1,31.2,0.0,,251.0,13.9,,1004.3,
2024-06-21,26.4,23.0,29.6,6.1,,256.0,14.0,,1004.7,
2024-06-22,27.7,23.1,32.0,0.8,,262.0,11.3,,1003.3,
2024-06-23,26.8,23.6,30.4,0.0,,253.0,10.1,,1002.3,
2024-06-24,27.7,23.4,32.2,0.5,,250.0,8.5,,1000.9,
2024-06-25,27.1,24.3,32.2,0.3,,227.0,12.9,,999.7,
2024-06-26,26.5,24.2,29.4,0.5,,235.0,14.3,,1000.1,
2024-06-27,25.6,23.5,28.4,0.5,,243.0,15.2,,1002.4,
2024-06-28,25.3,22.9,27.8,1.0,,238.0,17.1,,1003.5,
2024-06-29,25.9,23.2,28.4,5.1,,238.0,15.7,,1004.6,
2024-06-30,26.0,23.1,28.2,0.0,,242.0,15.1,,1005.0,
2024-07-01,26.2,22.8,29.4,2.0,,241.0,19.1,,1004.1,
2024-07-02,25.6,23.5,27.4,4.1,,249.0,15.4,,1003.7,
2024-07-03,26.9,23.4,29.8,13.0,,248.0,16.4,,1004.3,
2024-07-04,26.2,23.7,29.8,0.3,,249.0,14.9,,1005.5,
2024-07-05,26.1,23.4,27.6,0.8,,248.0,14.9,,1003.7,
2024-07-06,26.1,23.2,28.8,1.0,,249.0,16.4,,1002.6,
2024-07-07,26.1,22.3,29.0,2.0,,247.0,12.4,,1003.8,
2024-07-08,24.6,22.2,28.8,0.0,,252.0,9.6,,1004.1,
2024-07-09,24.7,21.2,28.6,16.0,,252.0,10.2,,1004.6,
2024-07-10,26.0,21.6,31.2,0.0,,250.0,12.4,,1007.3,
2024-07-11,25.4,21.4,29.6,0.0,,252.0,13.1,,1006.9,
2024-07-12,24.3,21.4,27.6,2.0,,252.0,12.9,,1005.1,
2024-07-13,24.3,22.3,26.0,0.0,,256.0,17.5,,1004.6,
2024-07-14,23.5,22.0,26.4,9.7,,264.0,13.9,,1002.9,
2024-07-15,24.6,22.3,29.6,3.6,,268.0,12.1,,1001.8,
2024-07-16,24.7,22.6,28.4,8.8,,258.0,12.6,,1001.6,
2024-07-17,25.0,22.9,28.0,0.0,,257.0,12.7,,1003.3,
2024-07-18,24.5,23.2,26.2,6.1,,259.0,15.2,,1003.8,
2024-07-19,25.0,22.9,26.4,2.0,,257.0,16.5,,1002.0,
2024-07-20,24.5,22.7,25.8,0.0,,254.0,16.4,,1002.8,
2024-07-21,24.2,22.8,27.2,6.4,,257.0,17.3,,1003.0,
2024-07-22,24.1,22.8,25.0,5.1,,255.0,17.6,,1004.9,
2024-07-23,24.2,22.9,26.4,10.9,,254.0,18.7,,1005.5,
2024-07-24,23.7,22.2,25.0,39.9,,257.0,19.4,,1003.1,
2024-07-25,22.5,21.6,23.4,114.0,,267.0,18.3,,1002.5,
2024-07-26,24.9,21.5,27.2,55.9,,260.0,17.5,,1003.5,
2024-07-27,24.6,23.2,25.4,2.0,,261.0,19.6,,1004.0,
2024-07-28,24.2,23.1,25.4,3.0,,260.0,17.9,,1002.0,
2024-07-29,24.5,22.8,26.4,8.9,,260.0,15.3,,1001.0,
2024-07-30,24.5,22.2,27.3,7.1,,263.0,12.0,,1004.5,
2024-07-31,24.8,23.2,27.3,29.0,,258.0,12.9,,1006.5,
2024-08-01,24.8,22.7,27.4,2.0,,257.0,14.3,,1006.4,
2024-08-02,23.8,22.4,25.3,10.9,,252.0,16.3,,1005.9,
2024-08-03,24.1,22.8,25.0,16.0,,253.0,17.0,,1006.2,
2024-08-04,23.8,22.2,24.9,16.0,,254.0,17.7,,1006.7,
2024-08-05,24.6,22.9,26.4,39.1,,253.0,15.9,,1007.5,
2024-08-06,24.7,22.4,27.0,5.1,,256.0,13.5,,1007.6,
2024-08-07,24.7,22.5,27.0,0.0,,260.0,13.3,,1007.6,
2024-08-08,25.0,22.6,27.8,2.0,,263.0,12.3,,1008.5,
2024-08-09,24.1,22.1,26.4,4.1,,263.0,10.9,,1009.4,
2024-08-10,24.7,21.8,27.8,0.8,,264.0,11.5,,1009.4,
2024-08-11,24.9,21.7,28.0,0.5,,263.0,12.4,,1007.7,
2024-08-12,24.1,21.6,27.9,1.8,,255.0,13.6,,1008.0,
2024-08-13,26.2,21.4,31.0,0.8,,272.0,7.8,,1007.8,
2024-08-14,26.4,22.0,30.6,0.0,,273.0,7.8,,1007.7,
2024-08-15,25.3,21.1,30.2,0.1,,277.0,8.2,,1006.6,
2024-08-16,25.3,21.0,31.2,1.4,,268.0,8.1,,1005.7,
2024-08-17,25.3,21.1,31.4,2.5,,289.0,5.3,,1006.9,
2024-08-18,25.2,23.0,32.6,18.3,,340.0,4.5,,1007.6,
2024-08-19,25.0,22.3,31.8,4.0,,308.0,3.9,,1006.9,
2024-08-20,25.1,22.0,29.5,1.5,,311.0,4.4,,1006.4,
2024-08-21,26.2,22.5,30.6,0.5,,335.0,4.5,,1006.8,
2024-08-22,26.7,23.1,32.4,2.0,,324.0,3.7,,1006.1,
2024-08-23,25.5,22.9,29.0,7.1,,256.0,9.4,,1006.9,
2024-08-24,23.4,22.2,25.0,9.9,,258.0,11.1,,1007.5,
2024-08-25,23.4,21.2,24.8,34.0,,258.0,16.7,,1006.5,
2024-08-26,23.7,22.0,27.0,11.9,,243.0,16.3,,1005.5,
2024-08-27,23.7,21.4,25.1,15.0,,237.0,16.7,,1006.5,
2024-08-28,25.1,21.4,,6.1,,,,,,
2024-08-29,25.1,22.1,,1.0,,,,,,
2024-08-30,24.4,21.5,,1.0,,,,,,
2024-08-31,25.2,21.5,,6.1,,,,,,
2024-09-01,24.8,22.3,,1.0,,,,,,
2024-09-02,24.1,22.5,,2.0,,,,,,
2024-09-03,25.1,22.9,,1.0,,,,,,
2024-09-04,25.1,,,0.0,,,,,,
2024-09-05,24.9,22.2,28.4,6.1,,259.0,13.2,,1006.9,
2024-09-06,24.6,22.1,27.8,6.1,,267.0,13.3,,1007.8,
2024-09-07,24.8,22.0,27.6,0.5,,262.0,12.2,,1008.5,
2024-09-08,24.8,21.7,28.4,0.5,,265.0,10.7,,1008.5,
2024-09-09,25.2,21.8,29.4,2.0,,267.0,10.2,,1006.2,
2024-09-10,24.3,22.0,28.2,0.5,,264.0,10.9,,1005.5,
2024-09-11,24.5,21.3,28.8,2.0,,255.0,11.6,,1006.5,
2024-09-12,24.3,21.8,27.8,0.3,,255.0,13.8,,1008.4,
2024-09-13,24.4,19.9,28.6,0.3,,254.0,14.1,,1009.1,
2024-09-14,24.1,19.2,28.2,0.0,,261.0,11.5,,1008.6,
2024-09-15,23.4,20.8,25.7,0.0,,266.0,11.3,,1009.1,
2024-09-16,23.7,19.4,29.4,0.0,,274.0,8.5,,1009.7,
2024-09-17,23.4,18.7,29.6,1.4,,274.0,9.4,,1009.6,
2024-09-18,23.4,19.0,30.4,0.0,,267.0,8.4,,1007.9,
2024-09-19,23.9,18.9,31.4,0.0,,267.0,7.1,,1008.3,
2024-09-20,24.6,20.3,31.6,1.1,,269.0,7.0,,1008.5,
2024-09-21,24.7,21.8,28.8,7.4,,275.0,8.0,,1009.2,
2024-09-22,25.8,21.3,29.6,0.5,,288.0,7.9,,1008.5,
2024-09-23,26.0,22.0,29.4,17.0,,306.0,6.1,,1007.3,
2024-09-24,24.7,22.5,29.6,5.1,,304.0,5.4,,1005.7,
2024-09-25,25.0,22.9,29.0,20.1,,276.0,6.1,,1005.0,
2024-09-26,24.1,22.2,27.0,133.1,,251.0,13.3,,1004.6,
2024-09-27,24.5,22.4,26.2,6.1,,252.0,16.1,,1006.1,
2024-09-28,24.6,21.8,27.2,4.1,,257.0,12.4,,1009.0,
2024-09-29,26.2,21.3,29.8,2.0,,270.0,8.1,,1011.1,
2024-09-30,25.5,20.4,30.6,0.0,,293.0,4.7,,1011.1,
2024-10-01,25.9,21.5,32.6,0.0,,326.0,4.3,,1009.2,
2024-10-02,25.4,21.2,32.6,5.2,,272.0,5.8,,1010.0,
2024-10-03,25.1,21.4,31.0,1.6,,263.0,8.6,,1010.1,
2024-10-04,24.4,20.4,31.4,1.0,,268.0,7.5,,1010.3,
2024-10-05,24.4,19.8,32.0,0.0,,288.0,5.1,,1010.6,
2024-10-06,24.6,20.3,31.8,0.8,,67.0,6.1,,1010.9,
2024-10-07,25.6,20.2,32.2,0.0,,73.0,7.2,,1011.4,
2024-10-08,25.2,21.4,31.2,2.5,,63.0,5.4,,1011.7,
2024-10-09,25.5,21.5,29.8,0.0,,62.0,6.0,,1010.0,
2024-10-10,26.2,21.5,30.0,2.0,,83.0,8.9,,1008.5,
2024-10-11,25.6,21.0,30.4,0.0,,97.0,11.2,,1008.2,
2024-10-12,26.3,21.4,30.8,23.1,,70.0,8.1,,1009.1,
2024-10-13,26.6,22.5,31.4,0.0,,77.0,6.6,,1010.0,
2024-10-14,27.0,22.4,32.8,0.0,,67.0,6.4,,1010.5,
2024-10-15,26.4,22.2,31.4,0.0,,60.0,5.1,,1010.7,
2024-10-16,26.6,22.0,30.8,5.1,,38.0,5.7,,1010.2,
2024-10-17,26.5,23.3,31.4,2.0,,74.0,7.7,,1009.3,
2024-10-18,26.8,23.2,30.0,0.3,,82.0,8.7,,1009.2,
2024-10-19,26.2,23.3,32.6,0.0,,84.0,5.5,,1011.2,
2024-10-20,25.5,20.5,30.6,20.1,,72.0,5.1,,1012.3,
2024-10-21,25.1,20.9,30.4,1.0,,75.0,5.9,,1012.4,
2024-10-22,26.4,21.5,32.0,0.0,,52.0,5.1,,1012.2,
2024-10-23,26.0,21.7,32.2,6.1,,55.0,5.2,,1011.9,
2024-10-24,25.3,20.2,32.0,0.0,,53.0,5.6,,1011.6,
2024-10-25,23.9,19.4,31.6,0.0,,356.0,5.0,,1011.7,
2024-10-26,23.8,17.6,32.2,0.0,,59.0,5.7,,1011.8,
2024-10-27,24.0,17.5,33.2,0.0,,292.0,5.2,,1010.3,
2024-10-28,24.6,18.6,33.2,0.0,,318.0,4.8,,1008.9,
2024-10-29,24.2,18.5,32.8,0.0,,315.0,5.2,,1010.0,
2024-10-30,24.5,19.5,32.2,0.0,,39.0,4.6,,1011.1,
2024-10-31,25.2,20.4,32.2,2.4,,38.0,6.2,,1012.0,
2024-11-01,25.2,20.6,32.2,0.1,,44.0,5.5,,1013.1,
2024-11-02,24.6,20.3,32.0,0.0,,52.0,6.2,,1013.7,
2024-11-03,24.0,18.2,32.0,0.0,,65.0,6.5,,1013.6,
2024-11-04,23.9,18.4,31.2,0.0,,84.0,6.7,,1012.7,
2024-11-05,23.8,18.5,31.0,0.0,,41.0,6.0,,1013.3,
2024-11-06,23.5,17.4,31.8,0.0,,31.0,5.5,,1014.0,
2024-11-07,23.3,16.8,31.2,0.0,,54.0,6.4,,1013.9,
2024-11-08,23.1,16.8,30.6,0.0,,61.0,7.2,,1013.6,
